timestamp,values
2020-12-11,17.05
2020-12-10,17.99
2020-12-09,17.16
2020-12-08,17.63
2020-12-07,17.21
2020-12-04,16.4
2020-12-03,16.09
2020-12-02,14.86
2020-12-01,14.27
2020-11-30,14.13
2020-11-27,14.98
2020-11-25,14.94
2020-11-24,14.82
2020-11-23,13.56
2020-11-20,12.53
2020-11-19,12.79
2020-11-18,12.74
2020-11-17,12.7
2020-11-16,12.79
2020-11-13,12.24
2020-11-12,11.74
2020-11-11,12.04
2020-11-10,12.38
2020-11-09,13.2
2020-11-06,11.46
2020-11-05,11.6
2020-11-04,11.005
2020-11-03,11.25
2020-11-02,11.19
2020-10-30,11.28
2020-10-29,11.16
2020-10-28,10.95
2020-10-27,11.23
2020-10-26,11.8
2020-10-23,12.6
2020-10-22,13.15
2020-10-21,12.745
2020-10-20,12.8
2020-10-19,12.56
2020-10-16,12.46
2020-10-15,12.23
2020-10-14,12.36
2020-10-13,12.22
2020-10-12,12.92
2020-10-09,13.2
2020-10-08,13.155
2020-10-07,13.07
2020-10-06,12.53
2020-10-05,13.12
2020-10-02,13.0
2020-10-01,12.58
2020-09-30,12.29
2020-09-29,12.25
2020-09-28,12.76
2020-09-25,12.29
2020-09-24,11.77
2020-09-23,11.93
2020-09-22,12.34
2020-09-21,12.21
2020-09-18,13.19
2020-09-17,13.63
2020-09-16,13.8
2020-09-15,13.14
2020-09-14,13.26
2020-09-11,12.95
2020-09-10,13.005
2020-09-09,13.05
2020-09-08,13.63
2020-09-04,13.61
2020-09-03,13.36
2020-09-02,13.23
2020-09-01,13.1
2020-08-31,13.05
2020-08-28,13.59
2020-08-27,13.28
2020-08-26,12.785
2020-08-25,13.14
2020-08-24,13.44
2020-08-21,12.16
2020-08-20,12.5
2020-08-19,12.68
2020-08-18,12.6
2020-08-17,12.62
2020-08-14,13.33
2020-08-13,13.3
2020-08-12,13.54
2020-08-11,13.73
2020-08-10,14.0
2020-08-07,13.03
2020-08-06,13.04
2020-08-05,12.56
2020-08-04,11.47
2020-08-03,11.08
2020-07-31,11.12
2020-07-30,11.18
2020-07-29,11.4
2020-07-28,11.77
2020-07-27,11.39
2020-07-24,11.39
2020-07-23,11.77
